Key,ESPAÑOL,ENGLISH,PORTUGUES,РУССКИЙ
menu_jugar,JUGAR,PLAY,JOGAR,ИГРАТЬ
menu_ajustes,AJUSTES,SETTINGS,CONFIGURAÇÕES,НАСТРОЙКИ
menu_salir,SALIR,QUIT,SAIR,ВЫХОД
menu_volver,VOLVER AL MENÚ,BACK TO MENU,VOLTAR AO MENU,В ГЛАВНОЕ МЕНЮ
menu_dificultad,DIFICULTAD,DIFFICULTY,DIFICULDADE,СЛОЖНОСТЬ
menu_tamano_mapa,TAMAÑO DE MAPA,MAP SIZE,TAMANHO DO MAPA,РАЗМЕР КАРТЫ
menu_sensibilidad,SENSIBILIDAD MOUSE,MOUSE SENSITIVITY,SENSIBILIDADE DO MOUSE,ЧУВСТВИТЕЛЬНОСТЬ МЫШИ
menu_volumen,VOLUMEN GENERAL,MASTER VOLUME,VOLUME GERAL,ОБЩАЯ ГРОМКОСТЬ
menu_graficos,CALIDAD GRÁFICOS,GRAPHICS QUALITY,QUALIDADE GRÁFICA,КАЧЕСТВО ГРАФИКИ
menu_idioma,IDIOMA,LANGUAGE,IDIOMA,ЯЗЫК
menu_ir_tunes,  [ IR A LOS TÚNELES (NIVEL 2) ],  [ GO TO TUNNELS (LEVEL 2) ],  [ IR PARA OS TÚNEIS (NÍVEL 2) ],  [ ПЕРЕЙТИ В ТУННЕЛИ (УРОВЕНЬ 2) ]
load_titulo,CONSEJO DE SUPERVIVENCIA,SURVIVAL TIP,CONSELHO DE SOBREVIVÊNCIA,СОВЕТ ПО ВЫЖИВАНИЮ
load_status_cargando,CARGANDO MAPA PROCEDURAL...,LOADING PROCEDURAL MAP...,CARREGANDO MAPA PROCEDURAL...,ЗАГРУЗКА ПРОЦЕДУРНОЙ КАРТЫ...
load_status_iniciando,INICIANDO ENCUENTRO...,STARTING ENCOUNTER...,INICIANDO ENCONTRO...,НАЧАЛО СТОЛКНОВЕНИЯ...
tip_1,El fenómeno es atraído por el ruido de tus pasos. Evita correr cuando esté cerca para que no detecte tu posición.,The phenomenon is attracted by the noise of your steps. Avoid running when it's nearby so it doesn't detect you.,O fenômeno é atraído pelo barulho dos seus passos. Evite correr quando ele estiver por perto para não ser detectado.,"Феномен привлекает шум ваших шагов. Избегайте бега, когда он рядом, чтобы он не обнаружил вас."
tip_2,"Si el monstruo te ve, corre hacia una cama y mantén pulsada la acción para esconderte debajo.","If the monster sees you, run to a bed and hold the action key to hide underneath.","Se o monstro te vir, corra para uma cama e segure a ação para se esconder embaixo.","Если монстр заметит вас, бегите к кровати и удерживайте кнопку действия, чтобы спрятаться под ней."
tip_3,La linterna consume batería. Apágala cuando estés en una habitación con luz estable.,The flashlight consumes battery. Turn it off when inside a room with stable lighting.,A lanterna consome bateria. Desligue-a quando estiver em uma sala com luz estável.,Фонарик потребляет батарею. Выключайте его в комнате со стабильным освещением.
tip_4,"Tu salud y tu cordura se regeneran gradualmente, pero únicamente si estás bajo una zona iluminada.","Your health and sanity regenerate gradually, but only when standing under a lighted area.","Sua saúde e sanidade regeneram gradualmente, mas apenas se você estiver sob uma área iluminada.","Ваше здоровье и рассудок постепенно восстанавливаются, но только если вы стоите на освещенном участке."
tip_5,Las notas de la pared contienen los dígitos de la Oficina del Director. Abre la puerta para conseguir la Tarjeta de Acceso.,Wall notes contain the Director's Office door digits. Open the door to get the Keycard.,As notas na parede contêm os dígitos da Sala do Diretor. Abra a porta para obter o Cartão de Acesso.,"В записках на стене указан код от кабинета директора. Откройте дверь, чтобы получить ключ-карту."
tip_6,"Cuando el hospital sufre un apagón, debes activar todos los subgeneradores antes de rearmar la caja de fusibles.","When the hospital suffers a blackout, you must activate all subgenerators before resetting the main fuse box.","Quando o hospital sofrer um apagão, você deve ativar todos os subgeradores antes de rearmar a caixa de fusíveis.","При отключении электричества в больнице вы должны активировать все подгенераторы, прежде чем перезагружать главный блок предохранителей."
tip_7,El monstruo puede teletransportarse a través de las sombras si corres de espaldas en zonas completamente oscuras.,The monster can teleport through shadows if you run backwards in completely dark zones.,O monstro pode se teletransportar pelas sombras se você correr de costas em áreas completamente escuras.,"Монстр может телепортироваться через тени, если вы бежите спиной вперед в абсолютно темных зонах."
tip_8,"Tienes intentos limitados por mapa. Si mueres, reaparecerás en el spawn y el monstruo se retirará lejos.","You have limited attempts per map. If you die, you will respawn and the monster will retreat far away.","Você tem tentativas limitadas por mapa. Se morrer, reaparecerá no spawn e o monstro se retirará para longe.","У вас ограниченное количество попыток на карту. Если вы умрете, вы возродитесь на базе, а монстр отступит далеко."
tip_9,"En el Depósito Industrial, The Replica imita la presencia humana entre la penumbra de los anaqueles. Observa con atención los pasillos.","In the Industrial Depot, The Replica mimics human presence among the dark shelves. Watch narrow corridors carefully.","No Depósito Industrial, The Replica imita a presença humana entre a penumbra das prateleiras. Observe com atenção os corredores.","На промышленном складе The Replica имитирует присутствие человека в полумраке стеллажей. Внимательно следите за коридорами."
tip_10,"En los Túneles Inundados, presurizar la consola de drenaje requiere activar las bombas hidráulicas antes de evacuar por la escotilla.","In the Flooded Tunnels, pressurizing the drainage console requires activating the hydraulic pumps before escaping through the hatch.","Nos Túneis Inundados, pressurizar o console de drenagem exige ativar as bombas hidráulicas antes de evacuar pela escotilha.","В затопленных туннелях дренажная консоль требует активации гидравлических насосов перед эвакуацией через люк."
hud_intentos_ult,Último intento,Last attempt,Última tentativa,Последняя попытка
hud_dia_prefix,Día ,Day ,Dia ,День 
hud_game_over,GAME OVER,GAME OVER,GAME OVER,ИГРА ОКОНЧЕНА
hud_consumido,La oscuridad te ha consumido...,Darkness has consumed you...,A escuridão consumiu você...,Тьма поглотила вас...
hud_reintentar_inicio,REINTENTAR,RETRY,TENTAR NOVAMENTE,ПОВТОРИТЬ
hud_ir_menu,IR AL MENÚ,MAIN MENU,MENU PRINCIPAL,В ГЛАВНОЕ МЕНЮ
msg_far_fuse,Estás muy lejos para interactuar con la caja de fusibles.,You are too far to interact with the fuse box.,Você está muito longe para interagir com a caixa de fusíveis.,"Вы слишком далеко, чтобы взаимодействовать с блоком предохранителей."
msg_fuse_repaired,Fusibles rearmados. ({0}/{1} reparaciones libres usadas),Fuses reset. ({0}/{1} free repairs used),Fusíveis rearmados. ({0}/{1} reparações livres usadas),Предохранители сброшены. (Использовано: {0}/{1} бесплатных ремонтов)
msg_fuse_placed,Fusible de repuesto colocado! Energía restablecida. (Quedan: {0}),Spare fuse placed! Power restored. (Remaining: {0}),Fusível reserva colocado! Energia restabelecida. (Restam: {0}),Запасной предохранитель установлен! Питание восстановлено. (Осталось: {0})
msg_fuse_burned,FUSIBLE QUEMADO PERMANENTEMENTE!\nEncuentra un fusible de repuesto en las habitaciones.,FUSE BURNED PERMANENTLY!\nFind a spare fuse inside the rooms.,FUSÍVEL QUEIMADO PERMANENTEMENTE!\nEncontre um fusível reserva nas salas.,ПРЕДОХРАНИТЕЛЬ СГОРЕЛ НАВСЕГДА!\nНайдите запасной предохранитель в комнатах.
msg_stable_fuse,Fusibles en estado estable. Inventario: {0} fusible(s).,Fuses in stable state. Inventory: {0} fuse(s).,Fusíveis estáveis. Inventário: {0} fusível(is).,Предохранители в стабильном состоянии. В инвентаре: {0} предохранитель(ей).
msg_no_network,SIN RED ELÉCTRICA: Activa todos los Subgeneradores ({0}/{1}) en el hospital.,NO POWER GRID: Activate all Subgenerators ({0}/{1}) in the hospital.,SEM REDE ELÉTRICA: Ative todos os Subgeradores ({0}/{1}) no hospital.,НЕТ ЭЛЕКТРОСЕТИ: Активируйте все подгенераторы ({0}/{1}) в больнице.
interact_note,[E]  Recoger Nota de Código,[E]  Pick up Code Note,[E]  Coletar Nota de Código,[E] Взять записку с кодом
interact_keycard,[E]  Recoger Tarjeta del Director,[E]  Pick up Director Keycard,[E]  Coletar Cartão do Diretor,[E] Взять ключ-карту директора
msg_keycard_picked,Tarjeta de Acceso del Director recogida!,Director Keycard picked up!,Cartão de Acesso do Diretor coletado!,Ключ-карта директора получена!
msg_subgen_active,SUBGENERADOR {0} ACTIVADO!,SUBGENERATOR {0} ACTIVATED!,SUBGERADOR {0} ATIVADO!,ПОДГЕНЕРАТОР {0} АКТИВИРОВАН!
interact_subgen,[E] Encender Subgenerador {0},[E] Turn on Subgenerator {0},[E] Ligar Subgerador {0},[E] Включить подгенератор {0}
interact_bed,Esconderse bajo la cama,Hide under the bed,Esconder-se debaixo da cama,Спрятаться под кроватью
interact_lore_note,[E]  Examinar Registro / Diario,[E]  Examine Log / Journal,[E]  Examinar Registro / Diário,[E] Осмотреть журнал / дневник
